,df,AICc,ResDev,dAIC
SizeSpecies,11,1150.944,130.981,NA
Speciesm,10,1151.602,90.499,0.658
SizeSGSpecies,12,1153.199,122.657,2.255
SGSpecies,11,1153.896,121.748,2.952
SizeSpeciesint,19,1155.356,125.284,4.412
SizeDiet,4,1178.99,124.27,28.046
SizeSGDiet,5,1179.396,125.614,28.452
SizeDietint,5,1180.145,121.088,29.201
Sizem,3,1180.716,88.369,29.772
SizeFunc,4,1181.915,123.339,30.971
SizeSGint,5,1181.935,88.516,30.991
SizeSG,4,1182.279,77.961,31.335
SizeFuncint,5,1182.973,133.562,32.029
SizeSGFunc,5,1183.738,90.592,32.794
SGDiet,4,1188.079,134.393,37.135
Dietm,3,1188.22,133.148,37.276
SGm,3,1188.652,133.354,37.708
Funcm,3,1189.516,124.961,38.572
SGFunc,4,1190.576,126.141,39.632
