,df,AICc,ResDev,dAIC
SizeSpecies,11,380.815,17.704,NA
SizeDiet,7,381.613,19.256,0.798
SizeDietint,11,386.76,18.588,5.945
SizeSGSpecies,14,387.132,17.523,6.317
SizeSGDiet,10,387.492,19.076,6.677
SizeSpeciesint,19,388.812,15.884,7.997
Speciesm,10,388.878,19.293,8.063
Dietm,6,390.503,21.093,9.688
SGSpecies,13,394.385,18.992,13.57
SGDiet,9,394.865,20.66,14.05
SizeSGint,9,397.439,21.099,16.624
SizeSG,6,403.601,23.469,22.786
SizeSGFunc,9,404.742,22.394,23.927
SizeFuncint,9,405.579,22.547,24.764
Sizem,3,408.798,25.818,27.983
SizeFunc,6,409.769,24.676,28.954
SGm,5,416.199,26.47,35.384
SGFunc,8,417.696,25.361,36.881
Funcm,5,429.148,29.393,48.333
