,df,AICc,ResDev,dAIC
SizeDiet,7,603.998,72.601,NA
SizeSpecies,11,605.278,68.187,1.28
Dietm,6,605.958,74.98,1.96
SizeSGDiet,10,607.298,70.558,3.3
SGDiet,9,608.265,72.393,4.267
SizeSGSpecies,14,608.45,65.916,4.452
Speciesm,10,609.072,71.524,5.074
SGSpecies,13,610.306,68.202,6.308
SizeDietint,11,612.91,72.299,8.912
SizeSpeciesint,19,620.923,65.326,16.925
Sizem,3,633.026,96.609,29.028
Funcm,5,636.376,95.911,32.378
SGm,5,637.185,96.491,33.187
SizeFuncint,9,637.278,90.194,33.28
SizeFunc,6,638.415,95.783,34.417
SizeSG,6,639.327,96.435,35.329
SGFunc,8,642.624,95.533,38.626
SizeSGFunc,9,644.891,95.479,40.893
