,df,AICc,ResDev,dAIC
SizeDiet,7,770.6,112.946,NA
SizeSpecies,11,771.306,105.909,0.706
SizeDietint,11,776.928,110.383,6.328
SizeSGDiet,10,777.395,112.753,6.795
SizeSGSpecies,14,778.569,105.669,7.969
Speciesm,10,781.315,116.032,10.715
SizeSpeciesint,19,781.448,97.572,10.848
SizeSGFunc,9,783.991,120.391,13.391
Dietm,6,784.751,127.262,14.151
SizeSGint,9,784.784,121.087,14.184
SizeFuncint,9,786.31,122.436,15.71
SGSpecies,13,787.923,115.338,17.323
SizeSG,6,787.963,130.244,17.363
SizeFunc,6,789.739,131.919,19.139
SGDiet,9,789.977,125.731,19.377
Sizem,3,796.888,145.476,26.288
SGFunc,8,799.443,136.879,28.843
SGm,5,807.033,151.599,36.433
Funcm,5,815.669,161.092,45.069
