"","model","AICc","ResDev","dAIC"
"1","SizeSpecies",1150.944,100.039,NA
"2","Speciesm",1151.602,88.993,0.658
"3","SizeSpeciesint",1155.356,100.502,4.412
"4","SizeSSSpecies",1156.439,98.977,5.495
"5","SSSpecies",1156.659,123.397,5.715
"6","SizeDiet",1158.494,119.314,7.55
"7","Dietm",1160.507,118.539,9.563
"8","SizeSSDiet",1161.519,97.557,10.575
"9","SSDiet",1162.515,87.145,11.571
"10","SizeDietint",1165.894,113.431,14.95
"11","SizeSSFunc",1175.473,88.516,24.529
"12","SizeSS",1178.691,77.961,27.747
"13","SSFunc",1179.182,125.382,28.238
"14","SizeSSint",1179.559,90.592,28.615
"15","Sizem",1180.716,133.299,29.772
"16","SSm",1184.204,103.731,33.26
"17","SizeFunc",1184.219,115.073,33.275
"18","SizeFuncint",1186.487,110.083,35.543
"19","Funcm",1192.699,126.141,41.755
