Species	Func	Diet	Size	IntFor	Area	Tort	VarInt	Total	start_finish
striatus	3	3	12	0.4475	0.322013247	0	0.002091667	1.79	0
striatus	3	3	12	0.481111111	0.552920307	0.237875289	0.129511111	4.33	1.03
striatus	3	3	25	1.057142857	5.548366786	0.548648649	0.207257143	7.4	4.06
striatus	3	3	15	1.476666667	9.820147396	0.775395034	2.923426667	8.86	6.87
scopas	3	4	14	0.465555556	0.780371615	0.119331742	0.042127778	4.19	0.5
scopas	3	4	15	4.67	39.51746567	0.35117773	3.073266667	18.68	6.56
scopas	3	4	12	1.762857143	10.06314959	0.38006483	4.128857143	12.34	4.69
veliferum	3	4	7	1.823333333	17.08688682	0.960694698	1.851986667	10.94	10.51
veliferum	3	4	11	2.4	21.49744729	0.204166667	9.7408	16.8	3.43
veliferum	3	4	4	1.17375	10.64528671	0.534611289	0.135798214	9.39	5.02
veliferum	3	4	8	2.532	21.16428139	0.286729858	1.12857	12.66	3.63
veliferum	3	4	16	1.706	4.873395604	0.092614302	1.32383	8.53	0.79
sordidus	1	1	20	1.145	1.229933524	0	0.022966667	4.58	0
sordidus	1	1	24	0.2325	0.179070781	0.387096774	0.008091667	0.93	0.36
sordidus	1	1	18	1.31	6.066022715	0.080916031	1.33565	6.55	0.53
sordidus	1	1	14	2.157777778	32.04770082	0.35015448	3.284869444	19.42	6.8
frenatus	2	1	25	3.458	27.5392012	0.072296125	6.60527	17.29	1.25
frenatus	2	1	18	1.098888889	5.324842468	0	0.904061111	9.89	0
frenatus	2	1	18	0.616666667	3.208194418	0	0.009033333	1.85	0
frenatus	2	1	17	0.9325	1.187522023	0.168900804	0.235958333	3.73	0.63
frenatus	2	1	22	0.964285714	18.55503161	0.777777778	0.987828571	6.75	5.25
frenatus	2	1	11	1.546	1.521394782	0.759379043	5.86348	7.73	5.87
vulpinus	3	5	19	1.968	3.022212133	0.319105691	2.20587	9.84	3.14
vulpinus	3	5	17	0.75	0.669159235	0.533333333	0.1525	2.25	1.2
vulpinus	3	5	12	1.623333333	5.410607948	0.852156057	0.784233333	4.87	4.15
vulpinus	3	5	20	1.99	10.67018383	0.946877243	2.2694	13.93	13.19
vulpinus	3	5	18	2.30625	37.76744148	0.151219512	4.250255357	18.45	2.79
vulpinus	3	5	19	2.925	4.911094716	0.621367521	10.88623333	11.7	7.27
