Species,SG,Diet,Func,Size,IntFor,Area,Tort,VarInt,First,Total,start_finish
rivulatus,3,1,2,27,4.603,129.2961726,20.64125561,13.91057889,4.09,46.03,2.23
doliatus,2,4,3,21,2.30375,20.34032018,1.231128925,25.20454107,0.32,18.43,14.97
doliatus,1,4,3,18,3.38,45.99684344,2.640625,8.29396,1.32,20.28,7.68
nigricauda,1,1,3,8,0.737142857,0.658085121,7.938461538,0.248790476,0.55,5.16,0.65
rivulatus,1,1,2,14,3.22,77.45203988,1.580368098,4.741085714,2.55,25.76,16.3
nigricauda,3,1,3,16,2.728888889,36.42126903,6.124688279,6.454536111,2.09,24.56,4.01
doliatus,1,4,3,23,2.510909091,50.59220809,7.525885559,3.522329091,5.43,27.62,3.67
frenatus,3,1,2,23,1.77375,17.11696757,2.608455882,4.608941071,0.46,14.19,5.44
sordidus,3,1,1,14,2.525714286,25.37228767,3.745762712,3.670761905,0.6,17.68,4.72
frenatus,2,1,2,26,3.078888889,43.57616776,3.346618357,4.175511111,1.25,27.71,8.28
nigricauda,4,1,3,13,2.758333333,23.89888071,3.036697248,3.844296667,1.27,16.55,5.45
nigricauda,1,1,3,23,4.574285714,71.7224032,2.826125331,12.09669524,8.89,32.02,11.33
nigricauda,4,1,3,18,4.4825,107.2133681,3.112847222,15.36862143,1.84,35.86,11.52
doliatus,2,4,3,16,2.648571429,42.69094549,1.493956487,12.32741429,0.57,18.54,12.41
doliatus,2,4,3,21,4.702857143,98.8258655,2.813675214,26.80225714,1.85,32.92,11.7
sordidus,4,1,1,23,4.094444444,91.26954977,3.779487179,10.48235278,1.29,36.85,9.75
doliatus,3,4,3,13,3.23875,37.39374904,6.082159624,2.300183929,4.94,25.91,4.26
doliatus,2,4,3,18,3.045,46.66042635,1.977272727,5.56063,1.71,18.27,9.24
doliatus,2,4,3,21,5.644,41.94591679,17.1030303,19.04693,9.16,28.22,1.65
unicornis,1,2,4,15,3.504,17.43112684,5.782178218,1.99123,5.4,17.52,3.03
nigricauda,3,1,3,28,2.178,4.677124603,4.093984962,0.85122,2.22,10.89,2.66
unicornis,3,2,4,36,3.798571429,30.86182813,5.793028322,6.099080952,0.97,26.59,4.59
unicornis,1,2,4,23,2.548888889,39.06727544,2.580427447,1.203511111,1.68,22.94,8.89
nigricauda,4,1,3,20,2.335555556,15.45977745,8.906779661,3.649927778,1.34,21.02,2.36
rivulatus,4,1,2,23,2.297,36.48771372,2.111213235,2.232378889,1.26,22.97,10.88
nigricauda,4,1,3,22,2.645555556,38.48380315,1.569545155,5.780327778,3.55,23.81,15.17
nigricauda,1,1,3,25,4.704285714,37.49176673,9.572674419,10.0445619,1.99,32.93,3.44
striatus,2,3,3,23,2.165555556,32.58239989,7.827309237,2.460677778,0.44,19.49,2.49
sordidus,3,1,1,14,2.088181818,42.68843222,2.221470019,6.538896364,1.07,22.97,10.34
rivulatus,4,1,2,23,1.844444444,44.29645642,1.412765957,1.956102778,1.42,16.6,11.75
sordidus,1,1,1,23,3.941818182,64.12776004,10.01385681,12.95137636,2.65,43.36,4.33
rivulatus,4,1,2,14,1.868888889,16.81034813,3.109057301,0.654036111,1.65,16.82,5.41
unicornis,3,2,4,44,3.316,73.92324594,3.429162358,6.78056,1.56,33.16,9.67
unicornis,3,2,4,29,2.741111111,27.11720677,6.63172043,2.656511111,4.31,24.67,3.72
vulpinis,2,5,3,23,7.034,38.51317704,1.097347894,54.11483,0.84,35.17,32.05
unicornis,3,2,4,33,2.657142857,59.72010555,1.631578947,2.43772381,2.81,18.6,11.4
unicornis,2,2,4,37,2.172727273,32.51516981,6.770538244,1.413761818,1.75,23.9,3.53
nigricauda,1,1,3,28,1.992727273,34.53804132,4.713978495,1.223121818,1.02,21.92,4.65
sordidus,1,1,1,10,1.945714286,13.9230674,5.198473282,2.061328571,1.49,13.62,2.62
nigricauda,2,1,3,24,3.112222222,34.98556119,4.905429072,18.94274444,0.93,28.01,5.71
rivulatus,4,1,2,33,2.286,39.00593585,1.284269663,5.403893333,2.11,22.86,17.8
rivulatus,4,1,2,26,1.963333333,68.66186364,1.75297619,1.830460606,1.74,23.56,13.44
doliatus,3,4,3,12,5.916666667,167.5254283,2.232704403,4.385666667,7.3,35.5,15.9
rivulatus,1,1,2,20,6.942857143,317.4579376,3.471428571,34.87952381,18.8,48.6,14
doliatus,4,4,3,8,1.8875,17.89922414,5.592592593,4.869821429,0.2,15.1,2.7
doliatus,2,4,3,15,1.568333333,15.83362697,1.306944444,2.480016667,0.55,9.41,7.2
doliatus,2,4,3,18,1.816,66.75884389,15.13333333,1.534962105,0.7,36.32,2.4
frenatus,1,1,2,24,3.34,28.27433388,13.91666667,5.844888889,0.4,33.4,2.4
sordidus,1,1,1,22,3.15,42.76493,1.145454545,19.059,0.9,18.9,16.5
scopas,2,4,3,13,4.557142857,74.97410868,63.8,4.212857143,3.9,31.9,0.5
