"","model","AICc","ResDev","dAIC"
"1","SizeDiet",603.998,70.558,NA
"2","SizeSpecies",605.278,65.916,1.28
"3","Dietm",605.958,96.435,1.96
"4","SizeSSDiet",607.298,68.187,3.3
"5","SSDiet",608.265,72.601,4.267
"6","SizeSSSpecies",608.45,95.783,4.452
"7","Speciesm",609.072,65.326,5.074
"8","SSSpecies",610.306,72.299,6.308
"9","SizeDietint",612.91,90.194,8.912
"10","SizeSpeciesint",620.923,68.202,16.925
"11","Sizem",633.026,72.393,29.028
"12","Funcm",636.376,95.533,32.378
"13","SSm",637.185,96.491,33.187
"14","SizeFuncint",637.278,71.524,33.28
"15","SizeFunc",638.415,95.911,34.417
"16","SizeSS",639.327,74.98,35.329
"17","SSFunc",642.624,95.479,38.626
"18","SizeSSFunc",644.891,96.609,40.893
